,ID,A1.1,F1A,F1B,F2A,F2B,I1,I2,I3,R1.1,R1.2,R1.3
69,https://doi.org/10.5061/dryad.5pt92,2,2,2,2,2,2,2,2,2,0,2
70,https://doi.org/10.5061/dryad.rk345,2,2,2,2,2,2,2,2,2,0,2
71,https://doi.org/10.5061/dryad.4j2662g,2,2,2,2,2,2,2,2,2,0,2
72,https://doi.org/10.5061/dryad.52582,2,2,2,2,2,2,2,2,2,0,2
73,https://doi.org/10.5061/dryad.3kc345s,2,2,2,2,2,2,2,2,2,0,2
74,https://doi.org/10.5061/dryad.5g1k6,2,2,2,2,2,2,2,2,2,0,2
75,https://doi.org/10.5061/dryad.v72m2,2,2,2,2,2,2,2,2,2,0,2
76,https://doi.org/10.5061/dryad.f5q10,2,2,2,2,2,2,2,2,2,0,2
77,https://doi.org/10.5061/dryad.js408,2,2,2,2,2,2,2,2,2,0,2
78,https://doi.org/10.5061/dryad.1642b,2,2,2,2,2,2,2,2,2,0,2
79,https://doi.org/10.5061/dryad.4r4j835,2,2,2,2,2,2,2,2,2,0,2
80,https://doi.org/10.5061/dryad.f12cg,2,2,2,2,2,2,2,2,2,0,2
81,https://doi.org/10.5061/dryad.hv117,2,2,2,2,2,2,2,2,2,0,2
82,https://doi.org/10.5061/dryad.4fn70,2,2,2,2,2,2,2,2,2,0,2
83,https://doi.org/10.5061/dryad.9cp3j,2,2,2,2,2,2,2,2,2,0,2
84,https://doi.org/10.5061/dryad.2v00t,2,2,2,2,2,2,2,2,2,0,2
85,https://doi.org/10.5061/dryad.7n1q4,2,2,2,2,2,2,2,2,2,0,2
86,https://doi.org/10.5061/dryad.gg6n17s,2,2,2,2,2,2,2,2,2,0,2
87,https://doi.org/10.5061/dryad.cb506,2,2,2,2,2,2,2,2,2,0,2
88,https://doi.org/10.5061/dryad.r503m,2,2,2,2,2,2,2,2,2,0,2
89,https://doi.org/10.5061/dryad.34569,2,2,2,2,2,2,2,2,2,0,2
90,https://doi.org/10.5061/dryad.622q4,2,2,2,2,2,2,2,2,2,0,2
91,https://doi.org/10.5061/dryad.fr1r2,2,2,2,2,2,2,2,2,2,0,2
92,https://doi.org/10.5061/dryad.485qq,2,2,2,2,2,2,2,2,2,0,2
93,https://doi.org/10.5061/dryad.4k2t07s,2,2,2,2,2,2,2,2,2,0,2
94,https://doi.org/10.5061/dryad.8t53k,2,2,2,2,2,2,2,2,2,0,2
95,https://doi.org/10.5061/dryad.t5r8m,2,2,2,2,2,2,2,2,2,0,2
96,https://doi.org/10.5061/dryad.gk90t,2,2,2,2,2,2,2,2,2,0,2
97,https://doi.org/10.5061/dryad.43bv0,2,2,2,2,2,2,2,2,2,0,2
98,https://doi.org/10.5061/dryad.dm540,2,2,2,2,2,2,2,2,2,0,2
99,https://doi.org/10.5061/dryad.4ck56,2,2,2,2,2,2,2,2,2,0,2
