,ID,A1.1,F1A,F1B,F2A,F2B,I1,I2,I3,R1.1,R1.2,R1.3
46,https://doi.org/10.5061/dryad.jq285,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.01
47,https://doi.org/10.5061/dryad.f51f5,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.03
48,https://doi.org/10.5061/dryad.34dt1,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
49,https://doi.org/10.5061/dryad.v6q0p,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
50,https://doi.org/10.5061/dryad.7vn81m1,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
51,https://doi.org/10.5061/dryad.c50hm00,0.0,0.0,0.01,0.0,0.02,0.0,0.03,0.01,0.01,0.01,0.03
52,https://doi.org/10.5061/dryad.6cv82g1,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
53,https://doi.org/10.5061/dryad.t51fm80,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.04
54,https://doi.org/10.5061/dryad.j631f,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
55,https://doi.org/10.5061/dryad.9c0k5,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
56,https://doi.org/10.5061/dryad.5rk06,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
57,https://doi.org/10.5061/dryad.4vd70,0.01,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.02,0.03
58,https://doi.org/10.5061/dryad.cf66jb7,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.01,0.01,0.01,0.02
59,https://doi.org/10.5061/dryad.3fm645g,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
60,https://doi.org/10.5061/dryad.m1c04,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
61,https://doi.org/10.5061/dryad.p610q,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
62,https://doi.org/10.5061/dryad.nk780,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
63,https://doi.org/10.5061/dryad.m67r6,0.0,0.0,0.01,0.0,0.02,0.0,0.03,0.01,0.01,0.01,0.02
64,https://doi.org/10.5061/dryad.3v55m,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.02,0.02
65,https://doi.org/10.5061/dryad.s3tc6,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.01
66,https://doi.org/10.5061/dryad.7v1m1,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
67,https://doi.org/10.5061/dryad.j68v0,0.0,0.0,0.01,0.0,0.02,0.0,0.03,0.0,0.01,0.01,0.02
68,https://doi.org/10.5061/dryad.0g6hq,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.02,0.02
69,https://doi.org/10.5061/dryad.5pt92,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
70,https://doi.org/10.5061/dryad.rk345,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
71,https://doi.org/10.5061/dryad.4j2662g,0.0,0.0,0.01,0.01,0.03,0.0,0.02,0.0,0.01,0.01,0.03
72,https://doi.org/10.5061/dryad.52582,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.02,0.02
73,https://doi.org/10.5061/dryad.3kc345s,0.0,0.0,0.01,0.0,0.02,0.01,0.02,0.0,0.01,0.01,0.02
74,https://doi.org/10.5061/dryad.5g1k6,0.0,0.0,0.01,0.0,0.02,0.0,0.03,0.0,0.01,0.01,0.02
75,https://doi.org/10.5061/dryad.v72m2,0.0,0.0,0.01,0.0,0.03,0.0,0.02,0.0,0.01,0.01,0.02
76,https://doi.org/10.5061/dryad.f5q10,0.0,0.0,0.01,0.0,0.02,0.01,0.02,0.0,0.01,0.01,0.02
