year,success,failure,success_percent,failure_percent
2021,2308,1774,56.54091131798138,43.45908868201862
2022,2443,166,93.63740896895362,6.362591031046377
2023,94003,53731,63.62990239213722,36.370097607862775
2024,173818,51671,77.08491323301801,22.915086766981982
2025,7396,3815,65.97092141646597,34.02907858353403
