year,success,failure,success_percent,failure_percent
2021,437,1612,21.32747681795998,78.67252318204002
2022,2589,4648,35.77449219289761,64.22550780710239
2023,83908,188547,30.79701235066341,69.20298764933659
2024,218735,119469,64.67546214710647,35.32453785289352
2025,7304,9487,43.49949377642785,56.50050622357215
