year,success,failure,success_percent,failure_percent
2021,2987,5399,35.61888862389697,64.38111137610304
2022,6906,3226,68.16028424792736,31.83971575207264
2023,182306,181883,50.05807424167122,49.94192575832878
2024,292418,158999,64.77779968410583,35.22220031589418
2025,13579,9273,59.42149483633818,40.57850516366182
