year,success,failure,success_percent,failure_percent
2021,2524,4604,35.40965207631874,64.59034792368126
2022,2595,2460,51.33531157270029,48.6646884272997
2023,109891,143190,43.42127619220724,56.57872380779276
2024,183344,154848,54.21299143681696,45.78700856318304
2025,7905,8874,47.11246200607903,52.88753799392097
