year,success,failure,delta,success_percent,failure_percent
2021,8266,14393,-6127,36.47998587757624,63.52001412242376
2022,17590,12453,5137,58.549412508737475,41.450587491262525
2023,470108,567351,-97243,45.31340515625196,54.68659484374804
2024,868315,484987,383328,64.16269243672144,35.83730756327856
2025,36184,31449,4735,53.50051010601333,46.49948989398666
