domain,nb
europepmc.org,155
proba2.oma.be,154
pndb.opendatasoft.com,153
www.met.ie,151
opw.hydronet.com,149
ec.europa.eu,146
opendata-lda-ie.hub.arcgis.com,144
www.gbif.org,142
datacatalogue.cessda.eu,142
fairdomhub.org,141
iopscience.iop.org,140
disprot.org,140
icml.cc,138
www.cso.ie,137
data.d4science.org,133
ega-archive.org,133
rboanalyzer.elixir-czech.cz,133
registry.dome-ml.org,132
www.ge.ch,132
data.bris.ac.uk,132
idsm.elixir-czech.cz,132
wiki.cost-dkg.eu,132
www.southgreen.fr,131
www.imgt.org,131
bmcbioinformatics.biomedcentral.com,130
linkeddatacatalog.dws.informatik.uni-mannheim.de,130
www.bgee.org,127
reactome.org,126
www.beilstein-journals.org,125
huggingface.co,125
alasky.cds.unistra.fr,124
ppidm.loria.fr,124
openneuro.org,123
bnbpick.io,121
www.chemotion-repository.net,121
api.datacite.org,120
www.nationalmuseum.ch,120
data.igvf.org,120
www.who.int,120
datarepository.nhm-wien.ac.at,119
umcgresearchdatacatalogue.nl,118
www.ccdc.cam.ac.uk,117
erddap.eofrom.space,115
aip.scitation.org,115
chemistry-europe.onlinelibrary.wiley.com,115
reshare.ukdataservice.ac.uk,114
edp-portal.eurac.edu,113
failteireland.developer.azure-api.net,113
emergen-db.france-bioinformatique.fr,113
banana-genome-hub.southgreen.fr,112
www.aniseed.cnrs.fr,111
eurisco.ipk-gatersleben.de,110
opendata.comune.palermo.it,110
rpredictordb.elixir-czech.cz,110
data.eumetsat.int,110
data.uni-hannover.de,109
data.inra.fr,109
openagenda.com,108
www.cathdb.info,108
www.brenda-enzymes.org,108
probleu.pml.space,108
www.ssoar.info,108
edcarp.github.io,108
thredds.met.no,108
nf-co.re,108
datadryad.org,108
ark.dasch.swiss,108
www.webofscience.com,108
bioconductor.org,107
amrutelab.github.io,106
banana-tools-genome-hub.southgreen.fr,104
beta.bioassayexpress.com,104
www.sligococo.ie,104
data.4dnucleome.org,103
catalogue.france-bioinformatique.fr,102
www.maelstrom-research.org,102
sandbox.zenodo.org,102
data.ascdc.tw,102
borealisdata.ca,102
forgemia.inra.fr,101
hal.archives-ouvertes.fr,101
covidontheweb.inria.fr,101
bgee.org,100
www.fairsfair.eu,99
arche.acdh.oeaw.ac.at,99
www.crimeanalytics.it,99
dadosabertos.capes.gov.br,98
www.google.com,97
www.europeana.eu,97
proteomecentral.proteomexchange.org,97
repo.pw.edu.pl,97
energiedashboard.ch,96
www.hydrodaten.admin.ch,96
www.cellosaurus.org,96
www.schweizmobil.org,96
www.lrec-conf.org,96
git.rwth-aachen.de,96
data-clarecoco.opendata.arcgis.com,96
www.sem.admin.ch,96
raw.githack.com,96
sis.nipo.gov.ua,96
maps.wexford.ie,96
eapk.org.ua,96
www.wsl.ch,96
www.dropbox.com,95
data.bnf.fr,94
prankweb.cz,94
massbank.eu,93
sdi.eea.europa.eu,92
aaai.org,92
www.w3.org,92
bacdive.dsmz.de,92
msbi.ipb-halle.de,91
repositoriodatasharingfapesp.uspdigital.usp.br,91
www.fao.org,90
www.irishaid.ie,90
amtdb.org,89
www.pcn.minambiente.it,89
vtechworks.lib.vt.edu,89
norine.univ-lille.fr,88
metadynreporter.cz,88
openark.adaptcentre.ie,88
www.cell.com,88
www.biomedit.ch,87
ssh.datastations.nl,87
dados.gov.br,85
www.bbc.co.uk,85
www.nb.admin.ch,84
www.encodeproject.org,84
string-db.org,84
purl.uniprot.org,84
www.hagelklima.ch,84
servizi2.inps.it,84
prostir.pdaba.dp.ua,84
instdb.casdc.cn,84
www.bar.admin.ch,84
catalogue.bnf.fr,84
archive.softwareheritage.org,83
journals.sagepub.com,83
www.datos.gov.co,83
data.tpdc.ac.cn,82
archive.materialscloud.org,81
ojs.aaai.org,81
biii.eu,80
nfdi.fiz-karlsruhe.de,80
www.ensembl.org,76
sonika-malik.github.io,75
openenergyplatform.org,75
tronpick.io,75
www.france-genomique.org,74
cds-beta.climate.copernicus.eu,74
docs.google.com,74
tinyurl.com,73
ordo.open.ac.uk,73
www.radar-service.eu,73
opendatasus.saude.gov.br,73
