,URL,F1A,F1B,F2A,F2B,A1.1,A1.2,I1,I2,I3,R1.1,R1.2,R1.3,F_score,A_score,I_score,R_score,FAIR_score
0,https://doi.org/10.60641/91cv-vn58,2,0,1,2,2,0,1,2,0,0,0,2,62.5,50.0,50.0,33.3,50.0
1,https://doi.org/10.48550/arxiv.2405.15830,2,0,1,1,2,0,1,1,0,0,0,1,50.0,50.0,33.3,16.7,37.5
2,https://doi.org/10.5281/zenodo.6278497,2,2,1,1,2,2,1,1,2,2,2,1,75.0,100.0,66.7,83.3,79.2
3,https://api.datacite.org/application/vnd.schemaorg.ld+json/10.60641/91cv-vn58,2,0,1,2,2,2,1,2,2,2,2,2,62.5,100.0,83.3,100.0,83.3
4,https://api.datacite.org/application/vnd.schemaorg.ld+json/10.48550/arxiv.2405.15830,2,2,1,2,2,2,1,2,0,2,2,2,87.5,100.0,50.0,100.0,83.3
5,https://api.datacite.org/application/vnd.schemaorg.ld+json/10.5281/zenodo.6278497,2,2,1,2,2,2,1,2,2,2,2,2,87.5,100.0,83.3,100.0,91.7
